Gender,Age,Annual_Income,Item_Category,Calories,Order_Date,Customer_Segment
Male,25.0,50000,Burger,2000.0,20/8/2022,Student
Female,30.0,60000,Salad,3568.96,20/8/2022,Regular
Female,35.0,65000,Beverage,3000.0,20/8/2022,Premium
Male,29.0,72000,Dessert,3568.96,20/8/2022,Regular
Male,16.0,72000,Dessert,3568.96,20/8/2022,Kid
Female,43.0,65000,Beverage,3000.0,20/8/2022,Guest
Male,22.0,44444,Burger,2100.0,20/8/2022,Student
Female,33.0,60000,Salad,2800.0,20/8/2022,Regular
Female,41.0,66666,Beverage,3150.0,20/8/2022,Premium
Male,40.0,72000,Dessert,3640.0,20/8/2022,Regular
Male,38.0,77777,Dessert,3640.0,20/8/2022,Kid
Female,39.0,65000,Beverage,3300.0,20/8/2022,Guest
Male,23.0,50000,Burger,2200.0,20/8/2022,Student
Female,34.0,60000,Salad,2934.0,20/8/2022,Regular
Female,41.0,65000,Beverage,3300.0,20/8/2022,Premium
Male,40.0,72000,Dessert,3814.0,20/8/2022,Regular
Male,38.0,77777,Dessert,3987.0,20/8/2022,Kid
Female,39.0,65000,Beverage,3450.0,20/8/2022,Guest
Male,24.0,55555,Burger,2300.0,20/8/2022,Student
Female,35.0,60000,Salad,3067.0,20/8/2022,Regular
Female,40.0,65000,Beverage,3600.0,20/8/2022,Premium
Male,41.0,77777,Dessert,3294.0,20/8/2022,Regular
Male,42.0,70000,Dessert,3294.0,20/8/2022,Kid
Female,43.0,68000,Beverage,2850.0,20/8/2022,Guest
Male,29.0,50000,Burger,1800.0,20/8/2022,Student
Female,38.0,60000,Salad,2400.0,20/8/2022,Regular
Female,44.0,66666,Beverage,2700.0,20/8/2022,Premium
Male,42.0,71500,Dessert,3120.0,20/8/2022,Regular
Male,40.0,72500,Dessert,2947.0,20/8/2022,Kid
Female,41.0,65000,Beverage,2550.0,20/8/2022,Guest
Male,25.0,50000,Burger,1700.0,20/8/2022,Student
Female,30.0,66666,Salad,2267.0,20/8/2022,Regular
Female,40.0,65000,Beverage,2640.0,20/8/2022,Premium
Male,42.0,73000,Dessert,3051.0,20/8/2022,Regular
Male,43.0,74000,Dessert,3051.0,20/8/2022,Kid
Female,44.0,65000,Beverage,2640.0,20/8/2022,Guest
,122.0,900000,Salad,0.0,15/6/2022,Employee
,121.0,900000,Salad,,15/6/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
,3.0,900000,Salad,,15/6/2022,Kid
,3.0,900000,Salad,,15/6/2022,Kid
,4.0,900000,Salad,,15/6/2022,Kid
,2.0,900000,Salad,,15/6/2022,Kid
Female,,70000,Burger,7000.0,5/4/2022,Guest
,122.0,900000,Salad,0.0,15/6/2022,Employee
Female,,70000,Burger,7000.0,5/4/2022,Guest
,121.0,900000,Salad,,15/6/2022,Employee
Male,2.0,72000,Dessert,,20/8/2022,Kid
Female,,70000,Burger,7000.0,5/4/2022,Guest
,100.0,900000,Salad,,15/6/2022,Employee
Female,191.0,65000,Beverage,3000.0,1/7/2022,Guest
Female,,70000,Burger,7000.0,5/4/2022,Guest
,100.0,900000,Salad,,15/6/2022,Employee
Female,,70000,Burger,7000.0,5/4/2022,Guest
,100.0,900000,Salad,,15/6/2022,Employee
Female,,70000,Burger,7000.0,5/4/2022,Guest
,100.0,900000,Salad,,15/6/2022,Employee
Female,,70000,Burger,7000.0,5/4/2022,Guest
Female,,70000,Burger,7000.0,5/4/2022,Guest
Female,,70000,Burger,7000.0,5/4/2022,Guest
Female,,70000,Burger,7000.0,5/4/2022,Guest
,2.0,900000,Salad,,15/6/2022,Kid
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,0.0,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,122.0,900000,Salad,0.0,15/6/2022,Employee
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,0.0,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,121.0,900000,Salad,,15/6/2022,Employee
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,0.0,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,0.0,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,0.0,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,100.0,900000,Salad,,15/6/2022,Employee
Female,45.0,,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,0.0,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,3.0,900000,Salad,,15/6/2022,Kid
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,0.0,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,3.0,900000,Salad,,15/6/2022,Kid
Female,45.0,no income,Beverage,1500.0,1/3/2022,VIP
Male,50.0,120000,Dessert,,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,4.0,900000,Salad,,15/6/2022,Kid
Female,45.0,no income,Beverage,,1/3/2022,VIP
Male,50.0,120000,Dessert,,,Manager
Male,60.0,80000,,5000.0,10/5/2022,Employee
,2.0,900000,Salad,,15/6/2022,Kid
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Male,60.0,80000,,5000.0,10/5/2022,Employee
Female,30.0,60000,Salad,0.0,20/2/2022,Regular
Male,50.0,120000,Dessert,0.0,,Manager
Female,,70000,Burger,7000.0,5/4/2022,Guest
Male,60.0,80000,,5000.0,10/5/2022,Employee
,122.0,900000,Salad,0.0,15/6/2022,Employee
