Witness_Gender,Witness_Age,Estimated_Altitude_ft,UFO_Shape,Duration_Seconds,Sighting_Date,Region
,45.33980976677391,5992.0,Formation,,,West
Female,78.32847717708155,20444.0,,,02/02/2022,South
Male,29.405932123347505,4935.0,,1205.9188955152165,21/10/2022,West
Female,,17622.0,Cigar,1115.6770791019055,25/06/2022,Midwest
Non-binary,84.43204588673629,16882.0,Oval,984.302002151243,23/11/2023,Mountain
,20.268350277263117,28793.0,Triangle,,,South
Non-binary,82.18084841322379,6921.0,Fireball,148.18282351013664,09/08/2023,North
Unknown,33.77427662008732,5880.0,,859.0232068516467,26/04/2022,West
Non-binary,36.97846181945081,14070.0,Light,84.82581031503628,05/01/2022,Mountain
Unknown,54.308876150502954,12055.0,Oval,,11/02/2023,Midwest
,76.82361825911458,6718.0,Formation,1449.9799529888523,,North
,32.032205273726866,17462.0,Light,1599.6658940813927,,West
Non-binary,24.689439035372054,20237.0,Triangle,882.0143317829209,14/01/2022,Mountain
Unknown,19.21943107426138,20972.0,Disk,427.83290583822475,03/12/2023,South
Male,,19205.0,Fireball,802.1143492892406,20/03/2023,West
Female,44.1701472542064,11892.0,,324.145433151856,20/02/2022,West
Male,53.98829312758103,18090.0,,,12/02/2022,West
Male,74.90632287340378,18553.0,Oval,17.941634471226667,15/06/2023,North
Unknown,43.87627956617969,19141.0,Fireball,1052.9246085135549,04/05/2023,Mountain
Male,,3694.0,Light,,20/06/2023,Midwest
Female,23.439986464771607,6739.0,Cigar,,11/07/2023,Midwest
Non-binary,71.23611936962766,20252.0,Light,1483.8026021322103,16/06/2023,East
Unknown,18.71366053538277,12977.0,Cigar,477.045693901634,13/10/2022,South
Unknown,18.31699335933844,1255.0,Cigar,,,North
Non-binary,40.49542853099409,,Fireball,,30/09/2022,South
Unknown,54.720164260243585,10739.0,Cigar,1287.007135526505,14/04/2023,South
Male,30.923827639822775,28343.0,,576.710628656127,08/11/2022,Coastal
,26.875001720585317,601.0,Triangle,,04/04/2022,East
Non-binary,,5748.0,Fireball,,13/01/2022,South
,24.63599073794983,4703.0,Cigar,763.2959519296461,14/01/2022,Mountain
Male,23.211664647136217,9332.0,Formation,631.1648246363461,,Midwest
Unknown,77.85595493165886,14040.0,Triangle,,06/06/2022,South
,44.54936846912932,8024.0,Disk,993.3930486777654,20/09/2022,Mountain
Male,,715.0,Disk,,08/04/2023,North
Male,72.37166769799975,13226.0,Disk,454.4493834326901,03/03/2023,Mountain
Unknown,50.03447765453325,17620.0,Fireball,313.5367766075151,,Mountain
Unknown,72.60141882905464,21656.0,Oval,,27/10/2023,East
Unknown,43.761608203031706,7056.0,Oval,1605.0939633603728,,South
Unknown,28.80142808996058,22041.0,Formation,,29/03/2022,Coastal
Male,22.974831866002198,11758.0,Oval,592.8308239643051,11/06/2022,North
,79.60064067758353,12286.0,Light,1764.0642830220652,18/09/2022,East
Non-binary,75.05372177695274,28105.0,Cigar,567.1285684756858,27/06/2023,Coastal
Male,82.68928801405767,28183.0,Disk,,26/10/2022,East
,58.34402202824944,1786.0,Fireball,,05/01/2023,West
Unknown,27.756642493178255,19185.0,Oval,763.1546206560961,22/07/2022,Midwest
,,18828.0,Circle,1392.1386237685624,01/07/2022,East
Female,24.113337574223316,22682.0,Fireball,1276.30456959293,15/07/2023,Mountain
Male,46.04594008946861,27971.0,,,23/11/2022,West
Unknown,31.328596154328938,25327.0,Formation,275.6877581598782,04/01/2023,East
Unknown,25.029472988080734,5341.0,Triangle,1687.9530685916784,24/10/2022,North
Non-binary,21.953577664829066,16725.0,Light,,03/04/2023,East
Unknown,41.21555630130223,26759.0,Circle,1608.4899909985465,18/12/2022,West
,54.44803110162086,19119.0,Triangle,1394.8300318656447,31/10/2023,South
,48.287106637451195,28492.0,Triangle,1519.9356047463582,08/12/2023,Coastal
,47.19577410600374,26894.0,Cigar,1408.8628757558918,13/04/2022,East
Male,33.072891087134415,18169.0,Disk,1100.1881175821122,14/04/2022,South
Female,17.5304560058146,29485.0,Triangle,850.5101078187823,17/03/2022,West
Female,63.04392287692392,21967.0,Circle,,27/07/2022,East
Unknown,40.05171078031528,25994.0,Triangle,60.131005332042314,28/02/2023,Midwest
Unknown,83.08432403788395,23902.0,Circle,1727.2920956172431,,Coastal
,,7551.0,Triangle,,16/01/2023,Coastal
Non-binary,37.29355911865509,28981.0,Formation,1593.7891016651768,02/07/2023,Mountain
,84.01719796011407,29423.0,Disk,,05/02/2022,West
Unknown,,24306.0,Circle,1728.4038223544508,,Mountain
Female,72.50333214132658,22792.0,Formation,,06/06/2023,Mountain
,16.709707748108315,2498.0,,1448.9198144104946,18/03/2022,Coastal
Male,65.71428717252044,27769.0,,1274.7330361998208,12/07/2022,South
Female,78.48307043353165,9730.0,,478.2993235460851,07/07/2023,North
Female,60.58051459998215,2066.0,,1145.5384905991136,22/02/2023,West
,17.024697522033044,21378.0,Circle,197.40711182914532,05/06/2022,South
Female,61.41326564333016,12016.0,Triangle,1729.6115029830353,29/12/2023,North
Non-binary,26.8126956879507,23695.0,Fireball,1581.5656438882904,19/11/2023,North
Non-binary,83.36267216530149,8805.0,Oval,81.72132414164449,12/10/2022,South
Female,35.52650919551775,18828.0,,553.2842500967919,29/06/2022,North
Unknown,79.8772121856476,11574.0,Fireball,200.58036574292203,15/01/2023,East
,62.12806964387326,11487.0,Disk,,09/09/2022,West
Female,40.789522700231075,10676.0,Oval,1605.0043359989202,,South
,82.71960134243737,28326.0,Formation,1135.2222335904387,21/07/2023,North
Female,41.633761653103825,4200.0,Fireball,,,West
,78.6501624300019,5794.0,Circle,,,South
Unknown,29.50226402860955,19997.0,Triangle,272.60630053373717,12/10/2023,East
Non-binary,25.798257860481193,25875.0,,113.35350689612531,24/08/2023,South
Male,39.32965826898398,6080.0,Oval,1388.7416919973293,06/09/2023,Midwest
Unknown,72.64475770861438,23567.0,Light,848.3193159623263,30/11/2023,East
Male,29.650057600242373,23372.0,Fireball,1419.7503661915,19/01/2022,North
Male,64.56812083137315,10159.0,Disk,,24/03/2023,West
Unknown,38.538998733633335,17832.0,Formation,,27/04/2022,South
Male,17.70369152397788,12948.0,,378.7883697307644,08/02/2022,Coastal
,69.78832066734421,7585.0,Circle,23.756777163042443,30/04/2023,Coastal
