Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Survey_Date
Iceland,Middle East and North Africa,4.798,1.4,1.429,0.416,25/10/2023
Denmark,East Asia,7.563,0.911,0.526,0.631,1/2/2023
,Latin America and Caribbean,6.514,0.658,1.396,0.453,8/5/2023
,Latin America and Caribbean,5.874,2.025,0.81,0.494,18/4/2023
Norway,Middle East and North Africa,3.749,2.031,0.63,0.914,11/6/2023
,North America and ANZ,3.749,1.576,1.266,0.413,
United Kingdom,Middle East and North Africa,3.279,1.076,1.192,0.563,
,Latin America and Caribbean,7.158,1.094,1.465,0.805,10/11/2023
United Kingdom,East Asia,5.885,1.734,1.309,0.457,21/12/2023
Sweden,Middle East and North Africa,6.399,2.025,,0.66,
Ireland,Western Europe,3.099,2.008,,0.876,25/9/2023
,Central and Eastern Europe,7.656,1.826,0.695,0.955,23/12/2023
Canada,,6.996,1.591,,0.232,20/8/2023
,Middle East and North Africa,4.019,0.643,1.388,0.934,6/9/2023
Netherlands,,3.873,0.775,1.59,0.543,25/6/2023
,,3.88,2.028,,0.332,22/5/2023
United Arab Emirates,Western Europe,4.46,1.531,0.909,0.513,
,Central and Eastern Europe,5.519,0.516,1.354,0.982,3/5/2023
Netherlands,Western Europe,5.073,0.673,,0.543,21/5/2023
Switzerland,Southeast Asia,4.398,1.628,1.524,0.396,20/3/2023
Uruguay,Central and Eastern Europe,,0.509,1.444,0.67,2/10/2023
Iceland,Latin America and Caribbean,,0.773,0.972,0.316,8/4/2023
Romania,,4.402,1.433,,0.168,1/7/2023
Australia,North America and ANZ,4.759,1.676,1.33,0.216,
Iceland,North America and ANZ,5.189,1.608,0.613,0.215,24/8/2023
Slovenia,North America and ANZ,6.769,0.881,1.493,0.237,14/7/2023
Israel,Western Europe,,1.711,,0.225,28/10/2023
Romania,,5.468,0.903,1.409,0.677,10/7/2023
Spain,Middle East and North Africa,5.844,1.053,,0.264,4/8/2023
Australia,Western Europe,3.223,1.769,,0.411,16/1/2023
Sweden,Latin America and Caribbean,5.916,1.604,0.928,0.907,28/11/2023
Australia,Western Europe,3.819,1.944,0.512,0.527,
Austria,East Asia,3.312,1.618,,0.701,14/5/2023
Lithuania,Southeast Asia,7.555,1.466,0.6,0.255,15/9/2023
Italy,Latin America and Caribbean,7.635,0.659,0.851,0.273,9/12/2023
Denmark,Middle East and North Africa,,1.125,1.545,0.137,23/7/2023
Uruguay,East Asia,4.462,0.951,1.546,0.252,5/6/2023
Spain,Latin America and Caribbean,3.469,0.915,1.131,0.351,17/7/2023
,Western Europe,6.284,2.154,1.195,0.259,26/3/2023
United States,Western Europe,5.113,1.168,0.993,0.18,
Finland,Central and Eastern Europe,3.586,2.016,0.823,0.209,
Finland,Latin America and Caribbean,5.377,1.573,0.862,0.515,
United Kingdom,East Asia,3.165,1.851,,0.286,1/11/2023
,,7.365,1.354,1.328,0.428,21/2/2023
Slovenia,Southeast Asia,4.242,1.481,1.371,0.553,28/4/2023
Uruguay,Middle East and North Africa,6.18,1.337,,0.721,26/11/2023
New Zealand,Southeast Asia,4.496,0.832,,0.135,8/6/2023
,North America and ANZ,5.496,1.728,,0.819,11/11/2023
Luxembourg,,5.624,0.977,0.563,0.665,17/8/2023
Italy,Latin America and Caribbean,3.887,0.541,1.104,0.174,27/4/2023
Lithuania,North America and ANZ,,1.597,0.986,0.886,12/2/2023
Costa Rica,Southeast Asia,6.721,0.801,,0.929,5/3/2023
Luxembourg,Central and Eastern Europe,7.51,2.099,0.886,0.155,21/11/2023
Austria,Middle East and North Africa,7.295,2.122,0.629,0.349,4/12/2023
Luxembourg,East Asia,5.87,2.055,0.657,0.826,19/9/2023
Switzerland,East Asia,7.425,1.129,1.338,0.773,14/5/2023
Spain,North America and ANZ,3.425,0.526,,0.266,26/1/2023
,East Asia,3.941,2.078,0.611,0.288,20/4/2023
Canada,East Asia,3.217,1.228,0.593,0.433,
Slovakia,Southeast Asia,4.562,2.143,1.271,0.536,18/6/2023
,,4.866,2.138,0.58,0.656,7/5/2023
,East Asia,4.302,1.95,1.404,0.432,
Singapore,,6.978,1.001,1.277,0.516,9/9/2023
,East Asia,4.712,1.155,,0.773,
Lithuania,North America and ANZ,4.348,1.947,,0.133,22/1/2023
Belgium,North America and ANZ,5.605,1.039,1.585,0.327,22/2/2023
Luxembourg,Middle East and North Africa,,0.788,0.912,0.742,
Uruguay,,6.851,1.447,,0.906,15/10/2023
Belgium,Central and Eastern Europe,3.358,2.091,1.394,0.561,19/12/2023
,Latin America and Caribbean,7.737,1.683,,0.579,19/11/2023
Germany,Middle East and North Africa,6.707,1.469,,0.196,2/4/2023
Israel,Southeast Asia,3.954,0.665,1.329,0.503,5/8/2023
Finland,Central and Eastern Europe,3.027,1.546,0.914,0.579,19/5/2023
France,Central and Eastern Europe,6.914,2.183,0.592,0.318,21/4/2023
Germany,Latin America and Caribbean,6.393,0.738,1.355,0.342,16/9/2023
Israel,Southeast Asia,,1.381,1.114,0.44,24/2/2023
,Latin America and Caribbean,6.702,1.992,,0.118,19/4/2023
Italy,Southeast Asia,,1.759,,0.39,24/8/2023
,,4.721,1.685,0.622,0.29,16/9/2023
New Zealand,Southeast Asia,,1.694,,0.395,22/1/2023
,Middle East and North Africa,7.143,1.111,,0.208,25/4/2023
,East Asia,5.992,0.999,1.016,0.901,26/9/2023
United Arab Emirates,North America and ANZ,4.588,1.876,0.562,0.634,7/9/2023
Sweden,Southeast Asia,3.305,1.877,0.631,0.711,13/11/2023
Denmark,North America and ANZ,,1.974,0.629,0.81,16/9/2023
Luxembourg,North America and ANZ,4.561,2.053,1.214,0.549,22/6/2023
Canada,Latin America and Caribbean,6.502,1.369,1.321,0.178,5/1/2023
United Arab Emirates,Western Europe,6.06,1.353,1.142,0.583,26/5/2023
Spain,Western Europe,7.259,1.857,,0.628,15/4/2023
Italy,Western Europe,5.267,1.605,0.912,0.771,23/12/2023
,North America and ANZ,3.574,1.693,,0.488,6/10/2023
France,North America and ANZ,6.424,1.853,1.455,0.215,16/9/2023
,Latin America and Caribbean,6.652,2.013,0.746,0.355,13/12/2023
,,5.694,1.075,1.56,0.427,17/11/2023
Australia,,6.701,1.138,0.513,0.681,
Netherlands,Latin America and Caribbean,5.37,0.66,1.567,0.614,17/11/2023
Switzerland,North America and ANZ,5.509,1.483,0.547,0.42,6/10/2023
Switzerland,Western Europe,5.052,0.561,,0.988,19/8/2023
Germany,Southeast Asia,3.122,1.292,,0.645,
Romania,East Asia,3.518,1.422,1.592,0.314,9/9/2023
Slovenia,Middle East and North Africa,3.151,0.987,,0.192,9/9/2023
Finland,North America and ANZ,6.055,1.504,,0.238,4/12/2023
Norway,East Asia,4.509,0.552,1.566,0.321,
Australia,,,0.563,1.075,0.245,17/1/2023
Spain,Middle East and North Africa,7.356,1.898,1.192,0.268,27/8/2023
Denmark,North America and ANZ,4.197,1.112,1.265,0.357,3/7/2023
Italy,Southeast Asia,,0.716,,0.256,
Slovenia,Western Europe,6.627,1.388,1.19,0.907,26/1/2023
Spain,North America and ANZ,4.098,1.809,,0.172,20/6/2023
,Latin America and Caribbean,3.37,0.867,,0.572,2/12/2023
United Arab Emirates,Central and Eastern Europe,4.391,1.559,0.55,0.469,
Finland,Latin America and Caribbean,3.774,0.645,0.809,0.984,
Costa Rica,,7.463,0.588,1.545,0.201,25/10/2023
,Latin America and Caribbean,6.879,1.403,1.479,0.458,15/12/2023
Israel,North America and ANZ,6.04,1.419,1.001,0.973,7/11/2023
Australia,Western Europe,7.183,1.584,1.182,0.879,11/4/2023
Norway,Middle East and North Africa,6.858,1.734,,0.835,11/1/2023
Czech Republic,Latin America and Caribbean,3.896,2.159,,0.332,8/4/2023
France,Southeast Asia,7.284,1.378,1.01,0.254,23/2/2023
Italy,North America and ANZ,5.589,1.049,0.889,0.702,10/12/2023
New Zealand,East Asia,6.876,1.852,1.142,0.936,25/10/2023
Spain,,7.301,0.96,0.586,0.601,20/2/2023
Iceland,,4.526,1.246,1.572,0.614,1/4/2023
,East Asia,3.528,0.633,1.585,0.352,1/5/2023
,Western Europe,4.094,0.543,1.268,0.793,17/4/2023
,Western Europe,5.05,2.137,,0.268,25/9/2023
,,6.926,1.921,0.84,0.391,
,North America and ANZ,7.132,1.683,1.395,0.483,6/9/2023
Czech Republic,Latin America and Caribbean,,1.195,,0.557,27/7/2023
Norway,North America and ANZ,5.452,,0.679,0.318,22/11/2023
Czech Republic,Southeast Asia,5.004,0.766,,0.203,3/8/2023
Romania,,4.066,0.925,1.405,0.65,20/12/2023
Luxembourg,East Asia,3.575,1.434,1.545,0.36,7/11/2023
Netherlands,Middle East and North Africa,,1.715,1.298,0.623,20/5/2023
United Arab Emirates,Southeast Asia,7.526,1.622,,0.239,
Lithuania,Latin America and Caribbean,,0.976,0.96,0.533,16/9/2023
Luxembourg,Latin America and Caribbean,5.49,2.123,,0.579,21/2/2023
Denmark,East Asia,6.374,1.754,1.453,0.147,19/2/2023
Romania,Southeast Asia,4.745,1.442,,0.403,8/8/2023
United Kingdom,Western Europe,7.665,1.54,,0.221,3/7/2023
Slovakia,North America and ANZ,7.62,1.213,0.914,0.157,
Austria,North America and ANZ,4.209,0.921,,0.991,25/9/2023
United States,Southeast Asia,5.387,1.105,1.586,0.39,8/8/2023
Slovenia,East Asia,4.444,1.788,0.665,0.829,7/11/2023
Sweden,Western Europe,4.367,0.524,,0.329,12/3/2023
,Western Europe,3.177,0.697,0.919,0.713,27/4/2023
,Central and Eastern Europe,5.926,0.578,1.567,0.784,6/8/2023
Romania,Western Europe,5.413,0.569,1.426,0.636,
Norway,Western Europe,3.247,1.954,1.422,0.524,20/2/2023
Czech Republic,Southeast Asia,4.338,1.696,1.016,0.471,4/1/2023
Uruguay,East Asia,7.36,1.306,0.956,0.414,20/3/2023
Australia,,4.15,0.666,0.801,0.937,6/6/2023
United Kingdom,Middle East and North Africa,3.695,1.336,,0.848,4/8/2023
Italy,Central and Eastern Europe,5.349,1.305,1.451,0.969,
Denmark,East Asia,7.731,0.794,,0.212,21/6/2023
Austria,North America and ANZ,4.162,1.238,1.6,0.758,25/5/2023
Switzerland,Middle East and North Africa,6.226,1.177,,0.945,19/11/2023
,Latin America and Caribbean,6.656,1.547,1.111,0.263,18/3/2023
France,Latin America and Caribbean,4.141,1.58,1.346,0.16,5/8/2023
Luxembourg,Latin America and Caribbean,6.495,0.577,1.539,0.767,
Czech Republic,Southeast Asia,4.765,1.137,1.435,0.617,21/9/2023
