Job_Type,Years_Experience,Base_Salary,Department,Annual_Bonus,Posting_Date,Required_Education
Full-time,25.0,50000,HR,2000.0,20/8/2022,high-school
Part-time,30.0,60000,Engineering,3568.96,20/8/2022,college
Part-time,35.0,65000,Marketing,3000.0,20/8/2022,university
Full-time,29.0,72000,Sales,3568.96,20/8/2022,college
Full-time,16.0,72000,Sales,3568.96,20/8/2022,mid-school
Part-time,43.0,65000,Marketing,3000.0,20/8/2022,illiterate
Full-time,22.0,44444,HR,2100.0,20/8/2022,high-school
Part-time,33.0,60000,Engineering,2800.0,20/8/2022,college
Part-time,41.0,66666,Marketing,3150.0,20/8/2022,university
Full-time,40.0,72000,Sales,3640.0,20/8/2022,college
Full-time,38.0,77777,Sales,3640.0,20/8/2022,mid-school
Part-time,39.0,65000,Marketing,3300.0,20/8/2022,illiterate
Full-time,23.0,50000,HR,2200.0,20/8/2022,high-school
Part-time,34.0,60000,Engineering,2934.0,20/8/2022,college
Part-time,41.0,65000,Marketing,3300.0,20/8/2022,university
Full-time,40.0,72000,Sales,3814.0,20/8/2022,college
Full-time,38.0,77777,Sales,3987.0,20/8/2022,mid-school
Part-time,39.0,65000,Marketing,3450.0,20/8/2022,illiterate
Full-time,24.0,55555,HR,2300.0,20/8/2022,high-school
Part-time,35.0,60000,Engineering,3067.0,20/8/2022,college
Part-time,40.0,65000,Marketing,3600.0,20/8/2022,university
Full-time,41.0,77777,Sales,3294.0,20/8/2022,college
Full-time,42.0,70000,Sales,3294.0,20/8/2022,mid-school
Part-time,43.0,68000,Marketing,2850.0,20/8/2022,illiterate
Full-time,29.0,50000,HR,1800.0,20/8/2022,high-school
Part-time,38.0,60000,Engineering,2400.0,20/8/2022,college
Part-time,44.0,66666,Marketing,2700.0,20/8/2022,university
Full-time,42.0,71500,Sales,3120.0,20/8/2022,college
Full-time,40.0,72500,Sales,2947.0,20/8/2022,mid-school
Part-time,41.0,65000,Marketing,2550.0,20/8/2022,illiterate
Full-time,25.0,50000,HR,1700.0,20/8/2022,high-school
Part-time,30.0,66666,Engineering,2267.0,20/8/2022,college
Part-time,40.0,65000,Marketing,2640.0,20/8/2022,university
Full-time,42.0,73000,Sales,3051.0,20/8/2022,college
Full-time,43.0,74000,Sales,3051.0,20/8/2022,mid-school
Part-time,44.0,65000,Marketing,2640.0,20/8/2022,illiterate
,122.0,900000,Engineering,0.0,15/6/2022,professor
,121.0,900000,Engineering,,15/6/2022,professor
,100.0,900000,Engineering,,15/6/2022,professor
,100.0,900000,Engineering,,15/6/2022,professor
,100.0,900000,Engineering,,15/6/2022,professor
,100.0,900000,Engineering,,15/6/2022,professor
,3.0,900000,Engineering,,15/6/2022,mid-school
,3.0,900000,Engineering,,15/6/2022,mid-school
,4.0,900000,Engineering,,15/6/2022,mid-school
,2.0,900000,Engineering,,15/6/2022,mid-school
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
,122.0,900000,Engineering,0.0,15/6/2022,professor
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
,121.0,900000,Engineering,,15/6/2022,professor
Full-time,2.0,72000,Sales,,20/8/2022,mid-school
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
,100.0,900000,Engineering,,15/6/2022,professor
Part-time,191.0,65000,Marketing,3000.0,1/7/2022,illiterate
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
,100.0,900000,Engineering,,15/6/2022,professor
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
,100.0,900000,Engineering,,15/6/2022,professor
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
,100.0,900000,Engineering,,15/6/2022,professor
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
Part-time,,70000,HR,7000.0,5/4/2022,illiterate
,2.0,900000,Engineering,,15/6/2022,mid-school
Part-time,45.0,Negotiable,Marketing,1500.0,1/3/2022,masters
Full-time,50.0,120000,Sales,0.0,,doctorate
Full-time,60.0,80000,,5000.0,10/5/2022,professor
,122.0,900000,Engineering,0.0,15/6/2022,professor
Part-time,45.0,Negotiable,Marketing,1500.0,1/3/2022,masters
Full-time,50.0,120000,Sales,0.0,,doctorate
Full-time,60.0,80000,,5000.0,10/5/2022,professor
,121.0,900000,Engineering,,15/6/2022,professor
Part-time,45.0,Negotiable,Marketing,1500.0,1/3/2022,masters
Full-time,50.0,120000,Sales,,,doctorate
Full-time,60.0,80000,,5000.0,10/5/2022,professor
,100.0,900000,Engineering,,15/6/2022,professor
Part-time,45.0,Negotiable,Marketing,1500.0,1/3/2022,masters
Full-time,50.0,120000,Sales,0.0,,doctorate
Full-time,60.0,80000,,5000.0,10/5/2022,professor
,100.0,900000,Engineering,,15/6/2022,professor
