Gender,Age,Songs_in_Library,Plan_Type,Monthly_Minutes_Listened,Last_Active_Date,Favorite_Genre
Male,25.0,50000,Premium,2000.0,20/8/2022,Pop
Female,30.0,60000,Free,3568.96,20/8/2022,Hip-Hop
Female,35.0,65000,Student,3000.0,20/8/2022,Rock
Male,29.0,72000,Family,3568.96,20/8/2022,Hip-Hop
Male,16.0,72000,Family,3568.96,20/8/2022,Indie
Female,43.0,65000,Student,3000.0,20/8/2022,Lo-fi
Male,22.0,44444,Premium,2100.0,20/8/2022,Pop
Female,33.0,60000,Free,2800.0,20/8/2022,Hip-Hop
Female,41.0,66666,Student,3150.0,20/8/2022,Rock
Male,40.0,72000,Family,3640.0,20/8/2022,Hip-Hop
Male,38.0,77777,Family,3640.0,20/8/2022,Indie
Female,39.0,65000,Student,3300.0,20/8/2022,Lo-fi
Male,23.0,50000,Premium,2200.0,20/8/2022,Pop
Female,34.0,60000,Free,2934.0,20/8/2022,Hip-Hop
Female,41.0,65000,Student,3300.0,20/8/2022,Rock
Male,40.0,72000,Family,3814.0,20/8/2022,Hip-Hop
Male,38.0,77777,Family,3987.0,20/8/2022,Indie
Female,39.0,65000,Student,3450.0,20/8/2022,Lo-fi
Male,24.0,55555,Premium,2300.0,20/8/2022,Pop
Female,35.0,60000,Free,3067.0,20/8/2022,Hip-Hop
Female,40.0,65000,Student,3600.0,20/8/2022,Rock
Male,41.0,77777,Family,3294.0,20/8/2022,Hip-Hop
Male,42.0,70000,Family,3294.0,20/8/2022,Indie
Female,43.0,68000,Student,2850.0,20/8/2022,Lo-fi
Male,29.0,50000,Premium,1800.0,20/8/2022,Pop
Female,38.0,60000,Free,2400.0,20/8/2022,Hip-Hop
Female,44.0,66666,Student,2700.0,20/8/2022,Rock
Male,42.0,71500,Family,3120.0,20/8/2022,Hip-Hop
Male,40.0,72500,Family,2947.0,20/8/2022,Indie
Female,41.0,65000,Student,2550.0,20/8/2022,Lo-fi
Male,25.0,50000,Premium,1700.0,20/8/2022,Pop
Female,30.0,66666,Free,2267.0,20/8/2022,Hip-Hop
Female,40.0,65000,Student,2640.0,20/8/2022,Rock
Male,42.0,73000,Family,3051.0,20/8/2022,Hip-Hop
Male,43.0,74000,Family,3051.0,20/8/2022,Indie
Female,44.0,65000,Student,2640.0,20/8/2022,Lo-fi
,122.0,900000,Free,0.0,15/6/2022,Classical
,121.0,900000,Free,,15/6/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
,100.0,900000,Free,,15/6/2022,Classical
,3.0,900000,Free,,15/6/2022,Indie
,3.0,900000,Free,,15/6/2022,Indie
,4.0,900000,Free,,15/6/2022,Indie
,2.0,900000,Free,,15/6/2022,Indie
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
,122.0,900000,Free,0.0,15/6/2022,Classical
Female,,70000,Premium,7000.0,5/4/2022,Lo-fi
,121.0,900000,Free,,15/6/2022,Classical
Male,2.0,72000,Family,,20/8/2022,Indie
