Platform_Type,Release_Year,Sales_Millions,Genre,Critic_Score,Release_Date,ESRB_Rating
PC,2011.0,50.5,Indie,83.32,22/01/2023,M
PC,2005.0,75.0,Action,96.93,07/10/2021,T
PC,2000.0,no sales,Indie,50.96,27/11/2021,RP
Console,2003.0,75.0,RPG,78.54,09/05/2022,E10+
Console,2008.0,120.2,Action,99.03,22/03/2022,E
Console,2014.0,75.0,Action,73.97,04/02/2022,E10+
Console,2010.0,no sales,Indie,84.4,31/10/2021,RP
Console,2003.0,10.0,Sports,80.99,23/01/2023,E10+
Console,2004.0,120.2,RPG,85.69,17/03/2022,RP
Console,2005.0,10.0,Sports,81.21,02/11/2021,RP
Console,2006.0,no sales,Indie,90.84,19/07/2023,RP
PC,2015.0,no sales,Indie,75.08,30/08/2022,T
Console,2013.0,120.2,RPG,57.71,05/12/2023,E
PC,2011.0,120.2,Sports,56.41,06/07/2023,RP
PC,2014.0,75.0,RPG,90.58,09/02/2020,E10+
Console,2019.0,75.0,Sports,79.29,10/09/2020,RP
Console,2008.0,75.0,Indie,63.69,04/01/2020,M
PC,2004.0,75.0,Sports,97.84,23/01/2022,E10+
Console,2017.0,120.2,Sports,95.84,19/04/2020,M
Console,2015.0,120.2,Indie,83.9,13/09/2022,M
Console,2014.0,50.5,Sports,83.64,09/03/2021,T
PC,2021.0,10.0,Action,61.77,25/11/2022,RP
Console,2002.0,75.0,Sports,64.82,17/01/2023,E
Console,2010.0,10.0,Sports,90.31,01/02/2021,M
PC,2011.0,50.5,Sports,68.62,05/11/2021,T
Console,2018.0,75.0,Indie,70.83,29/10/2020,M
Console,2003.0,75.0,Action,70.79,12/04/2021,E10+
Console,2015.0,10.0,RPG,50.28,20/01/2021,T
PC,2013.0,120.2,Indie,74.54,26/05/2021,RP
Console,2000.0,50.5,Action,75.66,08/08/2020,T
PC,2014.0,10.0,Sports,72.13,12/07/2022,E10+
Console,2023.0,50.5,RPG,59.37,04/03/2021,RP
PC,2018.0,75.0,Action,65.11,02/06/2020,RP
Console,2004.0,120.2,RPG,88.88,28/04/2020,E10+
Console,2010.0,10.0,Indie,91.79,16/11/2022,E
Console,2018.0,10.0,RPG,97.22,30/10/2022,E
,2008.0,50.5,Sports,97.75,15/04/2020,E10+
,2014.0,120.2,RPG,,16/02/2020,T
,2019.0,10.0,Sports,,06/04/2022,E
,2004.0,50.5,Action,,25/08/2022,M
,2018.0,no sales,RPG,,06/12/2021,T
,2008.0,120.2,RPG,,28/06/2020,M
,2004.0,120.2,Action,,30/10/2021,E
,2011.0,75.0,RPG,,30/04/2023,E
,2012.0,10.0,Sports,,13/01/2021,E10+
,2010.0,10.0,Indie,,10/03/2021,RP
PC,,10.0,Sports,54.53,01/07/2020,M
,2002.0,10.0,RPG,59.03,24/11/2021,T
Console,,no sales,Sports,80.97,28/10/2023,T
,2004.0,120.2,Action,,28/10/2021,RP
Console,2005.0,75.0,RPG,,23/08/2022,E10+
Console,,50.5,RPG,62.93,14/02/2020,E
,2000.0,10.0,Action,,23/11/2023,M
Console,2021.0,no sales,RPG,58.55,02/11/2021,RP
PC,,no sales,Action,97.46,04/12/2021,M
,2023.0,10.0,Indie,,29/08/2022,E
PC,,10.0,Indie,56.07,06/06/2021,RP
,2009.0,75.0,Sports,,20/11/2020,E
Console,,120.2,Sports,84.71,16/08/2023,T
,2013.0,120.2,Action,,21/07/2021,E
Console,,75.0,Sports,70.98,15/11/2022,RP
PC,,120.2,Sports,98.13,27/01/2021,E10+
Console,,no sales,Action,71.51,24/05/2023,T
PC,,10.0,Action,84.27,30/08/2020,RP
,2019.0,120.2,RPG,,13/05/2021,E
PC,2017.0,120.2,Action,78.11,04/06/2021,RP
Console,2015.0,no sales,Sports,95.43,,E10+
Console,2017.0,50.5,,90.87,19/11/2022,M
,2021.0,75.0,Indie,68.95,29/12/2022,E
Console,2015.0,50.5,Indie,97.08,21/05/2020,E10+
Console,2012.0,50.5,Sports,74.86,,RP
Console,2022.0,10.0,,95.46,18/05/2023,E
,2021.0,10.0,RPG,,02/07/2020,E
Console,2007.0,75.0,Indie,82.79,16/06/2023,E
Console,2016.0,120.2,Sports,,,E10+
PC,2014.0,120.2,,57.33,26/11/2021,E10+
,2020.0,no sales,Sports,,07/11/2023,M
Console,2021.0,50.5,Sports,55.25,24/05/2022,E10+
Console,2004.0,no sales,Action,81.76,,E10+
Console,2019.0,120.2,,83.79,25/11/2021,E
,2016.0,75.0,RPG,,07/01/2021,E
PC,2001.0,120.2,Action,68.3,11/12/2021,M
PC,2005.0,120.2,Indie,55.37,,T
PC,2002.0,75.0,,99.16,01/05/2021,E10+
,2011.0,10.0,RPG,,30/06/2023,M
PC,2001.0,no sales,Sports,52.64,15/04/2021,E10+
Console,2020.0,75.0,Action,69.51,,T
PC,2016.0,10.0,,88.76,03/03/2021,E10+
,2020.0,50.5,Indie,,22/12/2021,RP
