Gender,Age,Follower_Count,Platform,Avg_Likes,Last_Post_Date,Education
Male,25.0,50000,Instagram,2000.0,20/8/2022,high-school
Female,30.0,60000,TikTok,3568.96,20/8/2022,college
Female,35.0,65000,Twitter,3000.0,20/8/2022,university
Male,29.0,72000,YouTube,3568.96,20/8/2022,college
Male,16.0,72000,YouTube,3568.96,20/8/2022,mid-school
Female,43.0,65000,Twitter,3000.0,20/8/2022,illiterate
Male,22.0,44444,Instagram,2100.0,20/8/2022,high-school
Female,33.0,60000,TikTok,2800.0,20/8/2022,college
Female,41.0,66666,Twitter,3150.0,20/8/2022,university
Male,40.0,72000,YouTube,3640.0,20/8/2022,college
Male,38.0,77777,YouTube,3640.0,20/8/2022,mid-school
Female,39.0,65000,Twitter,3300.0,20/8/2022,illiterate
Male,23.0,50000,Instagram,2200.0,20/8/2022,high-school
Female,34.0,60000,TikTok,2934.0,20/8/2022,college
Female,41.0,65000,Twitter,3300.0,20/8/2022,university
Male,40.0,72000,YouTube,3814.0,20/8/2022,college
Male,38.0,77777,YouTube,3987.0,20/8/2022,mid-school
Female,39.0,65000,Twitter,3450.0,20/8/2022,illiterate
Male,24.0,55555,Instagram,2300.0,20/8/2022,high-school
Female,35.0,60000,TikTok,3067.0,20/8/2022,college
Female,40.0,65000,Twitter,3600.0,20/8/2022,university
Male,41.0,77777,YouTube,3294.0,20/8/2022,college
Male,42.0,70000,YouTube,3294.0,20/8/2022,mid-school
Female,43.0,68000,Twitter,2850.0,20/8/2022,illiterate
Male,29.0,50000,Instagram,1800.0,20/8/2022,high-school
Female,38.0,60000,TikTok,2400.0,20/8/2022,college
Female,44.0,66666,Twitter,2700.0,20/8/2022,university
Male,42.0,71500,YouTube,3120.0,20/8/2022,college
Male,40.0,72500,YouTube,2947.0,20/8/2022,mid-school
Female,41.0,65000,Twitter,2550.0,20/8/2022,illiterate
Male,25.0,50000,Instagram,1700.0,20/8/2022,high-school
Female,30.0,66666,TikTok,2267.0,20/8/2022,college
Female,40.0,65000,Twitter,2640.0,20/8/2022,university
Male,42.0,73000,YouTube,3051.0,20/8/2022,college
Male,43.0,74000,YouTube,3051.0,20/8/2022,mid-school
Female,44.0,65000,Twitter,2640.0,20/8/2022,illiterate
,122.0,900000,TikTok,0.0,15/6/2022,professor
,121.0,900000,TikTok,,15/6/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
,3.0,900000,TikTok,,15/6/2022,mid-school
,3.0,900000,TikTok,,15/6/2022,mid-school
,4.0,900000,TikTok,,15/6/2022,mid-school
,2.0,900000,TikTok,,15/6/2022,mid-school
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
,122.0,900000,TikTok,0.0,15/6/2022,professor
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
,121.0,900000,TikTok,,15/6/2022,professor
Male,2.0,72000,YouTube,,20/8/2022,mid-school
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
,100.0,900000,TikTok,,15/6/2022,professor
Female,191.0,65000,Twitter,3000.0,1/7/2022,illiterate
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
,100.0,900000,TikTok,,15/6/2022,professor
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
,100.0,900000,TikTok,,15/6/2022,professor
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
,100.0,900000,TikTok,,15/6/2022,professor
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
Female,,70000,Instagram,7000.0,5/4/2022,illiterate
,2.0,900000,TikTok,,15/6/2022,mid-school
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,0.0,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,122.0,900000,TikTok,0.0,15/6/2022,professor
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,0.0,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,121.0,900000,TikTok,,15/6/2022,professor
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,0.0,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,0.0,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,0.0,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,100.0,900000,TikTok,,15/6/2022,professor
Female,45.0,,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,0.0,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,3.0,900000,TikTok,,15/6/2022,mid-school
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,0.0,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,3.0,900000,TikTok,,15/6/2022,mid-school
Female,45.0,no income,Twitter,1500.0,1/3/2022,masters
Male,50.0,120000,YouTube,,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,4.0,900000,TikTok,,15/6/2022,mid-school
Female,45.0,no income,Twitter,,1/3/2022,masters
Male,50.0,120000,YouTube,,,doctorate
Male,60.0,80000,,5000.0,10/5/2022,professor
,2.0,900000,TikTok,,15/6/2022,mid-school
Male,60.0,80000,,5000.0,10/5/2022,professor
Male,60.0,80000,,5000.0,10/5/2022,professor
Male,60.0,80000,,5000.0,10/5/2022,professor
Male,60.0,80000,,5000.0,10/5/2022,professor
