Gender,Age,Study_Hours_Per_Week,Major,GPA,Last_Exam_Date,High_School_Background
Male,25.0,16.7,Biology,2.0,20/8/2022,Public
Female,30.0,20.0,Psychology,3.57,20/8/2022,Private
Female,35.0,21.7,Engineering,3.0,20/8/2022,International
Male,29.0,24.0,Business,3.57,20/8/2022,Private
Male,16.0,24.0,Business,3.57,20/8/2022,Charter
Female,43.0,21.7,Engineering,3.0,20/8/2022,Home-schooled
Male,22.0,14.8,Biology,2.1,20/8/2022,Public
Female,33.0,20.0,Psychology,2.8,20/8/2022,Private
Female,41.0,22.2,Engineering,3.15,20/8/2022,International
Male,40.0,24.0,Business,3.64,20/8/2022,Private
Male,38.0,25.9,Business,3.64,20/8/2022,Charter
Female,39.0,21.7,Engineering,3.3,20/8/2022,Home-schooled
Male,23.0,16.7,Biology,2.2,20/8/2022,Public
Female,34.0,20.0,Psychology,2.93,20/8/2022,Private
Female,41.0,21.7,Engineering,3.3,20/8/2022,International
Male,40.0,24.0,Business,3.81,20/8/2022,Private
Male,38.0,25.9,Business,3.99,20/8/2022,Charter
Female,39.0,21.7,Engineering,3.45,20/8/2022,Home-schooled
Male,24.0,18.5,Biology,2.3,20/8/2022,Public
Female,35.0,20.0,Psychology,3.07,20/8/2022,Private
Female,40.0,21.7,Engineering,3.6,20/8/2022,International
Male,41.0,25.9,Business,3.29,20/8/2022,Private
Male,42.0,23.3,Business,3.29,20/8/2022,Charter
Female,43.0,22.7,Engineering,2.85,20/8/2022,Home-schooled
Male,29.0,16.7,Biology,1.8,20/8/2022,Public
Female,38.0,20.0,Psychology,2.4,20/8/2022,Private
Female,44.0,22.2,Engineering,2.7,20/8/2022,International
Male,42.0,23.8,Business,3.12,20/8/2022,Private
Male,40.0,24.2,Business,2.95,20/8/2022,Charter
Female,41.0,21.7,Engineering,2.55,20/8/2022,Home-schooled
Male,25.0,16.7,Biology,1.7,20/8/2022,Public
Female,30.0,22.2,Psychology,2.27,20/8/2022,Private
Female,40.0,21.7,Engineering,2.64,20/8/2022,International
Male,42.0,24.3,Business,3.05,20/8/2022,Private
Male,43.0,24.7,Business,3.05,20/8/2022,Charter
Female,44.0,21.7,Engineering,2.64,20/8/2022,Home-schooled
,122.0,300.0,Psychology,0.0,15/6/2022,Public
,121.0,300.0,Psychology,,15/6/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
,3.0,300.0,Psychology,,15/6/2022,Charter
,3.0,300.0,Psychology,,15/6/2022,Charter
,4.0,300.0,Psychology,,15/6/2022,Charter
,2.0,300.0,Psychology,,15/6/2022,Charter
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
,122.0,300.0,Psychology,0.0,15/6/2022,Public
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
,121.0,300.0,Psychology,,15/6/2022,Public
Male,2.0,24.0,Business,,20/8/2022,Charter
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
,100.0,300.0,Psychology,,15/6/2022,Public
Female,191.0,21.7,Engineering,3.0,1/7/2022,Home-schooled
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
,100.0,300.0,Psychology,,15/6/2022,Public
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
,100.0,300.0,Psychology,,15/6/2022,Public
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
,100.0,300.0,Psychology,,15/6/2022,Public
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
,2.0,300.0,Psychology,,15/6/2022,Charter
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,0.0,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,122.0,300.0,Psychology,0.0,15/6/2022,Public
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,0.0,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,121.0,300.0,Psychology,,15/6/2022,Public
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,0.0,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,0.0,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,0.0,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Female,45.0,,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,0.0,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,3.0,300.0,Psychology,,15/6/2022,Charter
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,0.0,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,3.0,300.0,Psychology,,15/6/2022,Charter
Female,45.0,no income,Engineering,1.5,1/3/2022,
Male,50.0,40.0,Business,,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,4.0,300.0,Psychology,,15/6/2022,Charter
Female,45.0,no income,Engineering,,1/3/2022,
Male,50.0,40.0,Business,,,Private
Male,60.0,26.7,,4.0,10/5/2022,Public
,2.0,300.0,Psychology,,15/6/2022,Charter
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Male,60.0,26.7,,4.0,10/5/2022,Public
Female,30.0,20.0,Psychology,0.0,20/2/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,122.0,300.0,Psychology,0.0,15/6/2022,Public
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,0.0,20/2/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,121.0,300.0,Psychology,,15/6/2022,Public
Male,2.0,24.0,Business,,20/8/2022,Charter
Female,30.0,20.0,Psychology,,20/2/2022,Private
Male,50.0,40.0,Business,,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,0.0,20/2/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,0.0,20/2/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,0.0,20/2/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,100.0,300.0,Psychology,,15/6/2022,Public
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,0.0,20/2/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,3.0,300.0,Psychology,,15/6/2022,Charter
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,0.0,20/2/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,3.0,300.0,Psychology,,15/6/2022,Charter
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,,20/2/2022,Private
Male,50.0,40.0,Business,,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,4.0,300.0,Psychology,,15/6/2022,Charter
Male,29.0,24.0,Business,,20/8/2022,Private
Female,30.0,20.0,Psychology,,20/2/2022,Private
Female,45.0,no income,Engineering,,1/3/2022,
Male,50.0,40.0,Business,,,Private
Female,,23.3,Biology,4.0,5/4/2022,Home-schooled
Male,60.0,26.7,,4.0,10/5/2022,Public
,2.0,300.0,Psychology,,15/6/2022,Charter
Male,29.0,24.0,Business,,20/8/2022,Private
Male,50.0,40.0,Business,0.0,,Private
Male,50.0,40.0,Business,0.0,,Private
Male,50.0,40.0,Business,,,Private
Male,50.0,40.0,Business,0.0,,Private
Male,50.0,40.0,Business,0.0,,Private
Male,50.0,40.0,Business,0.0,,Private
Male,50.0,40.0,Business,0.0,,Private
Male,50.0,40.0,Business,0.0,,Private
Male,50.0,40.0,Business,,,Private
Male,50.0,40.0,Business,,,Private
Male,25.0,16.7,Biology,2.0,20/8/2022,Public
Female,30.0,20.0,Psychology,3.57,20/8/2022,Private
