Position,Jersey_Number,NIL_Value,Conference,Season_Yards,Commitment_Date,Recruit_Star_Rating
QB,25,50000,SEC,2000,20/8/2022,3-star
WR,30,60000,Big10,3568.96,20/8/2022,4-star
WR,35,65000,ACC,3000,20/8/2022,5-star
QB,29,72000,Big12,3568.96,20/8/2022,4-star
QB,16,72000,Big12,3568.96,20/8/2022,2-star
WR,43,65000,ACC,3000,20/8/2022,unranked
QB,22,44444,SEC,2100,20/8/2022,3-star
WR,33,60000,Big10,2800,20/8/2022,4-star
WR,41,66666,ACC,3150,20/8/2022,5-star
QB,40,72000,Big12,3640,20/8/2022,4-star
QB,38,77777,Big12,3640,20/8/2022,2-star
WR,39,65000,ACC,3300,20/8/2022,unranked
QB,23,50000,SEC,2200,20/8/2022,3-star
WR,34,60000,Big10,2934,20/8/2022,4-star
WR,41,65000,ACC,3300,20/8/2022,5-star
QB,40,72000,Big12,3814,20/8/2022,4-star
QB,38,77777,Big12,3987,20/8/2022,2-star
WR,39,65000,ACC,3450,20/8/2022,unranked
QB,24,55555,SEC,2300,20/8/2022,3-star
WR,35,60000,Big10,3067,20/8/2022,4-star
WR,40,65000,ACC,3600,20/8/2022,5-star
QB,41,77777,Big12,3294,20/8/2022,4-star
QB,42,70000,Big12,3294,20/8/2022,2-star
WR,43,68000,ACC,2850,20/8/2022,unranked
QB,29,50000,SEC,1800,20/8/2022,3-star
WR,38,60000,Big10,2400,20/8/2022,4-star
WR,44,66666,ACC,2700,20/8/2022,5-star
QB,42,71500,Big12,3120,20/8/2022,4-star
QB,40,72500,Big12,2947,20/8/2022,2-star
WR,41,65000,ACC,2550,20/8/2022,unranked
QB,25,50000,SEC,1700,20/8/2022,3-star
WR,30,66666,Big10,2267,20/8/2022,4-star
WR,40,65000,ACC,2640,20/8/2022,5-star
QB,42,73000,Big12,3051,20/8/2022,4-star
QB,43,74000,Big12,3051,20/8/2022,2-star
WR,44,65000,ACC,2640,20/8/2022,unranked
,122,900000,Big10,0,15/6/2022,HallOfFame
,121,900000,Big10,,15/6/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
,3,900000,Big10,,15/6/2022,2-star
,3,900000,Big10,,15/6/2022,2-star
,4,900000,Big10,,15/6/2022,2-star
,2,900000,Big10,,15/6/2022,2-star
WR,,70000,SEC,7000,5/4/2022,unranked
,122,900000,Big10,0,15/6/2022,HallOfFame
WR,,70000,SEC,7000,5/4/2022,unranked
,121,900000,Big10,,15/6/2022,HallOfFame
QB,2,72000,Big12,,20/8/2022,2-star
WR,,70000,SEC,7000,5/4/2022,unranked
,100,900000,Big10,,15/6/2022,HallOfFame
WR,191,65000,ACC,3000,1/7/2022,unranked
WR,,70000,SEC,7000,5/4/2022,unranked
,100,900000,Big10,,15/6/2022,HallOfFame
WR,,70000,SEC,7000,5/4/2022,unranked
,100,900000,Big10,,15/6/2022,HallOfFame
WR,,70000,SEC,7000,5/4/2022,unranked
,100,900000,Big10,,15/6/2022,HallOfFame
WR,,70000,SEC,7000,5/4/2022,unranked
WR,,70000,SEC,7000,5/4/2022,unranked
WR,,70000,SEC,7000,5/4/2022,unranked
WR,,70000,SEC,7000,5/4/2022,unranked
,2,900000,Big10,,15/6/2022,2-star
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,0,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,122,900000,Big10,0,15/6/2022,HallOfFame
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,0,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,121,900000,Big10,,15/6/2022,HallOfFame
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,0,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,0,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,0,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
WR,45,,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,0,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,3,900000,Big10,,15/6/2022,2-star
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,0,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,3,900000,Big10,,15/6/2022,2-star
WR,45,no scouts,ACC,1500,1/3/2022,pro-prospect
QB,50,120000,Big12,,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,4,900000,Big10,,15/6/2022,2-star
WR,45,no scouts,ACC,,1/3/2022,pro-prospect
QB,50,120000,Big12,,,elite-pro
QB,60,80000,,5000,10/5/2022,HallOfFame
,2,900000,Big10,,15/6/2022,2-star
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
QB,60,80000,,5000,10/5/2022,HallOfFame
WR,30,60000,Big10,0,20/2/2022,4-star
QB,50,120000,Big12,0,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,122,900000,Big10,0,15/6/2022,HallOfFame
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,0,20/2/2022,4-star
QB,50,120000,Big12,0,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,121,900000,Big10,,15/6/2022,HallOfFame
QB,2,72000,Big12,,20/8/2022,2-star
WR,30,60000,Big10,,20/2/2022,4-star
QB,50,120000,Big12,,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,0,20/2/2022,4-star
QB,50,120000,Big12,0,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,0,20/2/2022,4-star
QB,50,120000,Big12,0,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,0,20/2/2022,4-star
QB,50,120000,Big12,0,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,100,900000,Big10,,15/6/2022,HallOfFame
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,0,20/2/2022,4-star
QB,50,120000,Big12,0,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,3,900000,Big10,,15/6/2022,2-star
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,0,20/2/2022,4-star
QB,50,120000,Big12,0,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,3,900000,Big10,,15/6/2022,2-star
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,,20/2/2022,4-star
QB,50,120000,Big12,,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,4,900000,Big10,,15/6/2022,2-star
QB,29,72000,Big12,,20/8/2022,4-star
WR,30,60000,Big10,,20/2/2022,4-star
WR,45,no scouts,ACC,,1/3/2022,pro-prospect
QB,50,120000,Big12,,,elite-pro
WR,,70000,SEC,7000,5/4/2022,unranked
QB,60,80000,,5000,10/5/2022,HallOfFame
,2,900000,Big10,,15/6/2022,2-star
QB,29,72000,Big12,,20/8/2022,4-star
QB,50,120000,Big12,0,,elite-pro
QB,50,120000,Big12,0,,elite-pro
QB,50,120000,Big12,,,elite-pro
QB,50,120000,Big12,0,,elite-pro
QB,50,120000,Big12,0,,elite-pro
QB,50,120000,Big12,0,,elite-pro
QB,50,120000,Big12,0,,elite-pro
QB,50,120000,Big12,0,,elite-pro
QB,50,120000,Big12,,,elite-pro
QB,50,120000,Big12,,,elite-pro
QB,25,50000,SEC,2000,20/8/2022,3-star
