Position,Jersey_No,Scholarship_Amt,Division,Stat_Value,Commitment_date,Class
Pitcher,25,50000,D1,0.200,20/8/2022,Senior
Infield,30,60000,D2,0.356,20/8/2022,Junior
Infield,35,65000,D3,0.300,20/8/2022,Sophomore
Pitcher,29,72000,NAIA,0.356,20/8/2022,Junior
Pitcher,16,72000,NAIA,0.356,20/8/2022,Freshman
Infield,43,65000,D3,0.300,20/8/2022,Redshirt
Pitcher,22,44444,D1,0.210,20/8/2022,Senior
Infield,33,60000,D2,0.280,20/8/2022,Junior
Infield,41,66666,D3,0.315,20/8/2022,Sophomore
Pitcher,40,72000,NAIA,0.364,20/8/2022,Junior
Pitcher,38,77777,NAIA,0.364,20/8/2022,Freshman
Infield,39,65000,D3,0.330,20/8/2022,Redshirt
Pitcher,23,50000,D1,0.220,20/8/2022,Senior
Infield,34,60000,D2,0.293,20/8/2022,Junior
Infield,41,65000,D3,0.330,20/8/2022,Sophomore
Pitcher,40,72000,NAIA,0.381,20/8/2022,Junior
Pitcher,38,77777,NAIA,0.398,20/8/2022,Freshman
Infield,39,65000,D3,0.345,20/8/2022,Redshirt
Pitcher,24,55555,D1,0.230,20/8/2022,Senior
Infield,35,60000,D2,0.306,20/8/2022,Junior
Infield,40,65000,D3,0.360,20/8/2022,Sophomore
Pitcher,41,77777,NAIA,0.329,20/8/2022,Junior
Pitcher,42,70000,NAIA,0.329,20/8/2022,Freshman
Infield,43,68000,D3,0.285,20/8/2022,Redshirt
Pitcher,29,50000,D1,0.180,20/8/2022,Senior
Infield,38,60000,D2,0.240,20/8/2022,Junior
Infield,44,66666,D3,0.270,20/8/2022,Sophomore
Pitcher,42,71500,NAIA,0.312,20/8/2022,Junior
Pitcher,40,72500,NAIA,0.294,20/8/2022,Freshman
Infield,41,65000,D3,0.255,20/8/2022,Redshirt
Pitcher,25,50000,D1,0.170,20/8/2022,Senior
Infield,30,66666,D2,0.226,20/8/2022,Junior
Infield,40,65000,D3,0.264,20/8/2022,Sophomore
Pitcher,42,73000,NAIA,0.305,20/8/2022,Junior
Pitcher,43,74000,NAIA,0.305,20/8/2022,Freshman
Infield,44,65000,D3,0.264,20/8/2022,Redshirt
,122,900000,D2,0,15/6/2022,Coach
