Gender,Age,Semester_GPA,Major,Tuition_Paid,Enrollment_Date,Degree_Level
Male,25,3.5,Engineering,2000,20/8/2022,high-school
Female,30,3.8,Nursing,3568.96,20/8/2022,college
Female,35,3.2,Arts,3000,20/8/2022,university
Male,29,3.9,Business,3568.96,20/8/2022,college
Male,16,3.9,Business,3568.96,20/8/2022,mid-school
Female,43,3.2,Arts,3000,20/8/2022,illiterate
Male,22,2.8,Engineering,2100,20/8/2022,high-school
Female,33,3.8,Nursing,2800,20/8/2022,college
Female,41,3.4,Arts,3150,20/8/2022,university
Male,40,3.9,Business,3640,20/8/2022,college
Male,38,4.0,Business,3640,20/8/2022,mid-school
Female,39,3.2,Arts,3300,20/8/2022,illiterate
Male,23,3.5,Engineering,2200,20/8/2022,high-school
Female,34,3.8,Nursing,2934,20/8/2022,college
Female,41,3.2,Arts,3300,20/8/2022,university
Male,40,3.9,Business,3814,20/8/2022,college
Male,38,4.0,Business,3987,20/8/2022,mid-school
Female,39,3.2,Arts,3450,20/8/2022,illiterate
Male,24,3.1,Engineering,2300,20/8/2022,high-school
Female,35,3.8,Nursing,3067,20/8/2022,college
Female,40,3.2,Arts,3600,20/8/2022,university
Male,41,4.0,Business,3294,20/8/2022,college
Male,42,3.7,Business,3294,20/8/2022,mid-school
Female,43,3.3,Arts,2850,20/8/2022,illiterate
Male,29,3.5,Engineering,1800,20/8/2022,high-school
Female,38,3.8,Nursing,2400,20/8/2022,college
Female,44,3.4,Arts,2700,20/8/2022,university
Male,42,3.6,Business,3120,20/8/2022,college
Male,40,3.7,Business,2947,20/8/2022,mid-school
Female,41,3.2,Arts,2550,20/8/2022,illiterate
Male,25,3.5,Engineering,1700,20/8/2022,high-school
Female,30,3.4,Nursing,2267,20/8/2022,college
Female,40,3.2,Arts,2640,20/8/2022,university
Male,42,3.8,Business,3051,20/8/2022,college
Male,43,3.9,Business,3051,20/8/2022,mid-school
Female,44,3.2,Arts,2640,20/8/2022,illiterate
,122,4.0,Nursing,0,15/6/2022,professor
,121,4.0,Nursing,,15/6/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
,3,4.0,Nursing,,15/6/2022,mid-school
,3,4.0,Nursing,,15/6/2022,mid-school
,4,4.0,Nursing,,15/6/2022,mid-school
,2,4.0,Nursing,,15/6/2022,mid-school
Female,,3.0,Engineering,7000,5/4/2022,illiterate
,122,4.0,Nursing,0,15/6/2022,professor
Female,,3.0,Engineering,7000,5/4/2022,illiterate
,121,4.0,Nursing,,15/6/2022,professor
Male,2,3.9,Business,,20/8/2022,mid-school
Female,,3.0,Engineering,7000,5/4/2022,illiterate
,100,4.0,Nursing,,15/6/2022,professor
Female,191,3.2,Arts,3000,1/7/2022,illiterate
Female,,3.0,Engineering,7000,5/4/2022,illiterate
,100,4.0,Nursing,,15/6/2022,professor
Female,,3.0,Engineering,7000,5/4/2022,illiterate
,100,4.0,Nursing,,15/6/2022,professor
Female,,3.0,Engineering,7000,5/4/2022,illiterate
,100,4.0,Nursing,,15/6/2022,professor
Female,,3.0,Engineering,7000,5/4/2022,illiterate
Female,,3.0,Engineering,7000,5/4/2022,illiterate
Female,,3.0,Engineering,7000,5/4/2022,illiterate
Female,,3.0,Engineering,7000,5/4/2022,illiterate
,2,4.0,Nursing,,15/6/2022,mid-school
Female,45,failing,Arts,1500,1/3/2022,masters
Male,50,4.0,Business,0,,doctorate
Male,60,3.5,,5000,10/5/2022,professor
,122,4.0,Nursing,0,15/6/2022,professor
Female,45,failing,Arts,1500,1/3/2022,masters
Male,50,4.0,Business,0,,doctorate
Male,60,3.5,,5000,10/5/2022,professor
,121,4.0,Nursing,,15/6/2022,professor
Female,45,failing,Arts,1500,1/3/2022,masters
Male,50,4.0,Business,,,doctorate
Male,60,3.5,,5000,10/5/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
Female,45,failing,Arts,1500,1/3/2022,masters
Male,50,4.0,Business,0,,doctorate
Male,60,3.5,,5000,10/5/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
Female,45,failing,Arts,1500,1/3/2022,masters
Male,50,4.0,Business,0,,doctorate
Male,60,3.5,,5000,10/5/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
Female,45,failing,Arts,1500,1/3/2022,masters
Male,50,4.0,Business,0,,doctorate
Male,60,3.5,,5000,10/5/2022,professor
,100,4.0,Nursing,,15/6/2022,professor
Female,45,,Arts,1500,1/3/2022,masters
Male,50,4.0,Business,0,,doctorate
Male,60,3.5,,5000,10/5/2022,professor
