Gender,Age,Scholarship_Value,Position,Minutes_Played,Commit_Date,Eligibility_Level
Male,18,15000,Striker,1200,20/8/2022,high-school
Female,20,25000,Midfielder,1850.50,20/8/2022,college
Female,22,28000,Defender,1500,20/8/2022,university
Male,21,35000,Goalie,1850.50,20/8/2022,college
Male,16,35000,Goalie,1850.50,20/8/2022,mid-school
Female,24,28000,Defender,1500,20/8/2022,ineligible
Male,19,12000,Striker,1400,20/8/2022,high-school
Female,20,25000,Midfielder,1650,20/8/2022,college
Female,21,30000,Defender,1900,20/8/2022,university
Male,22,35000,Goalie,2100,20/8/2022,college
Male,21,38000,Goalie,2100,20/8/2022,mid-school
Female,22,28000,Defender,1800,20/8/2022,ineligible
Male,18,15000,Striker,1350,20/8/2022,high-school
Female,20,25000,Midfielder,1750,20/8/2022,college
Female,21,28000,Defender,1800,20/8/2022,university
Male,22,35000,Goalie,2200,20/8/2022,college
Male,21,38000,Goalie,2400,20/8/2022,mid-school
Female,22,28000,Defender,1950,20/8/2022,ineligible
Male,18,17000,Striker,1450,20/8/2022,high-school
Female,20,25000,Midfielder,1820,20/8/2022,college
Female,21,28000,Defender,2100,20/8/2022,university
Male,22,38000,Goalie,1950,20/8/2022,college
Male,23,32000,Goalie,1950,20/8/2022,mid-school
Female,24,29000,Defender,1550,20/8/2022,ineligible
Male,19,15000,Striker,1100,20/8/2022,high-school
Female,20,25000,Midfielder,1450,20/8/2022,college
Female,22,30000,Defender,1600,20/8/2022,university
Male,22,34000,Goalie,1880,20/8/2022,college
Male,21,35000,Goalie,1720,20/8/2022,mid-school
Female,22,28000,Defender,1400,20/8/2022,ineligible
Male,18,15000,Striker,1000,20/8/2022,high-school
Female,20,30000,Midfielder,1300,20/8/2022,college
Female,21,28000,Defender,1540,20/8/2022,university
Male,22,36000,Goalie,1820,20/8/2022,college
Male,23,37000,Goalie,1820,20/8/2022,mid-school
Female,24,28000,Defender,1540,20/8/2022,ineligible
,122,900000,Midfielder,0,15/6/2022,coach
,121,900000,Midfielder,,15/6/2022,coach
,100,900000,Midfielder,,15/6/2022,coach
,100,900000,Midfielder,,15/6/2022,coach
,100,900000,Midfielder,,15/6/2022,coach
,100,900000,Midfielder,,15/6/2022,coach
,3,900000,Midfielder,,15/6/2022,mid-school
,3,900000,Midfielder,,15/6/2022,mid-school
,4,900000,Midfielder,,15/6/2022,mid-school
,2,900000,Midfielder,,15/6/2022,mid-school
Female,,30000,Striker,7000,5/4/2022,ineligible
,122,900000,Midfielder,0,15/6/2022,coach
Female,,30000,Striker,7000,5/4/2022,ineligible
,121,900000,Midfielder,,15/6/2022,coach
Male,2,35000,Goalie,,20/8/2022,mid-school
Female,,30000,Striker,7000,5/4/2022,ineligible
,100,900000,Midfielder,,15/6/2022,coach
Female,191,28000,Defender,3000,1/7/2022,ineligible
Female,,30000,Striker,7000,5/4/2022,ineligible
,100,900000,Midfielder,,15/6/2022,coach
Female,,30000,Striker,7000,5/4/2022,ineligible
,100,900000,Midfielder,,15/6/2022,coach
Female,,30000,Striker,7000,5/4/2022,ineligible
,100,900000,Midfielder,,15/6/2022,coach
Female,,30000,Striker,7000,5/4/2022,ineligible
Female,,30000,Striker,7000,5/4/2022,ineligible
Female,,30000,Striker,7000,5/4/2022,ineligible
Female,,30000,Striker,7000,5/4/2022,ineligible
,2,900000,Midfielder,,15/6/2022,mid-school
Female,25,no scholarship,Defender,1500,1/3/2022,graduated
Male,26,45000,Goalie,0,,pro-contract
Male,28,38000,,5000,10/5/2022,coach
,122,900000,Midfielder,0,15/6/2022,coach
Female,25,no scholarship,Defender,1500,1/3/2022,graduated
Male,26,45000,Goalie,0,,pro-contract
Male,28,38000,,5000,10/5/2022,coach
,121,900000,Midfielder,,15/6/2022,coach
Female,25,no scholarship,Defender,1500,1/3/2022,graduated
Male,26,45000,Goalie,,,pro-contract
Male,28,38000,,5000,10/5/2022,coach
,100,900000,Midfielder,,15/6/2022,coach
Female,25,no scholarship,Defender,1500,1/3/2022,graduated
