Position,Jersey_No,Scholarship_Value,Conference,Points_Scored,Game_Date,Eligibility
Guard,25,50000,ACC,2000,20/8/2022,high-school
Forward,30,60000,Big-10,3568.96,20/8/2022,college
Forward,35,65000,SEC,3000,20/8/2022,university
Guard,29,72000,Big-12,3568.96,20/8/2022,college
Guard,16,72000,Big-12,3568.96,20/8/2022,mid-school
Forward,43,65000,SEC,3000,20/8/2022,illiterate
Guard,22,44444,ACC,2100,20/8/2022,high-school
Forward,33,60000,Big-10,2800,20/8/2022,college
Forward,41,66666,SEC,3150,20/8/2022,university
Guard,40,72000,Big-12,3640,20/8/2022,college
Guard,38,77777,Big-12,3640,20/8/2022,mid-school
Forward,39,65000,SEC,3300,20/8/2022,illiterate
Guard,23,50000,ACC,2200,20/8/2022,high-school
Forward,34,60000,Big-10,2934,20/8/2022,college
Forward,41,65000,SEC,3300,20/8/2022,university
Guard,40,72000,Big-12,3814,20/8/2022,college
Guard,38,77777,Big-12,3987,20/8/2022,mid-school
Forward,39,65000,SEC,3450,20/8/2022,illiterate
Guard,24,55555,ACC,2300,20/8/2022,high-school
Forward,35,60000,Big-10,3067,20/8/2022,college
Forward,40,65000,SEC,3600,20/8/2022,university
Guard,41,77777,Big-12,3294,20/8/2022,college
Guard,42,70000,Big-12,3294,20/8/2022,mid-school
Forward,43,68000,SEC,2850,20/8/2022,illiterate
Guard,29,50000,ACC,1800,20/8/2022,high-school
Forward,38,60000,Big-10,2400,20/8/2022,college
Forward,44,66666,SEC,2700,20/8/2022,university
Guard,42,71500,Big-12,3120,20/8/2022,college
Guard,40,72500,Big-12,2947,20/8/2022,mid-school
Forward,41,65000,SEC,2550,20/8/2022,illiterate
Guard,25,50000,ACC,1700,20/8/2022,high-school
Forward,30,66666,Big-10,2267,20/8/2022,college
Forward,40,65000,SEC,2640,20/8/2022,university
Guard,42,73000,Big-12,3051,20/8/2022,college
Guard,43,74000,Big-12,3051,20/8/2022,mid-school
Forward,44,65000,SEC,2640,20/8/2022,illiterate
,122,900000,Big-10,0,15/6/2022,professor
,121,900000,Big-10,,15/6/2022,professor
,100,900000,Big-10,,15/6/2022,professor
,100,900000,Big-10,,15/6/2022,professor
,100,900000,Big-10,,15/6/2022,professor
,100,900000,Big-10,,15/6/2022,professor
,3,900000,Big-10,,15/6/2022,mid-school
,3,900000,Big-10,,15/6/2022,mid-school
,4,900000,Big-10,,15/6/2022,mid-school
,2,900000,Big-10,,15/6/2022,mid-school
Forward,,70000,ACC,7000,5/4/2022,illiterate
,122,900000,Big-10,0,15/6/2022,professor
Forward,,70000,ACC,7000,5/4/2022,illiterate
,121,900000,Big-10,,15/6/2022,professor
Guard,2,72000,Big-12,,20/8/2022,mid-school
Forward,,70000,ACC,7000,5/4/2022,illiterate
