Position,Jersey_Number,Scholarship_Amount,Division,Batting_Avg,Commit_Date,Class_Year
Pitcher,25,50000,D1,0.200,20/8/2022,Senior
Catcher,30,60000,D2,0.357,20/8/2022,Junior
Catcher,35,65000,D3,0.300,20/8/2022,Sophomore
Pitcher,29,72000,NAIA,0.357,20/8/2022,Junior
Pitcher,16,72000,NAIA,0.357,20/8/2022,Freshman
Catcher,43,65000,D3,0.300,20/8/2022,Redshirt
Pitcher,22,44444,D1,0.210,20/8/2022,Senior
Catcher,33,60000,D2,0.280,20/8/2022,Junior
Catcher,41,66666,D3,0.315,20/8/2022,Sophomore
Pitcher,40,72000,NAIA,0.364,20/8/2022,Junior
Pitcher,38,77777,NAIA,0.364,20/8/2022,Freshman
Catcher,39,65000,D3,0.330,20/8/2022,Redshirt
Pitcher,23,50000,D1,0.220,20/8/2022,Senior
Catcher,34,60000,D2,0.293,20/8/2022,Junior
Catcher,41,65000,D3,0.330,20/8/2022,Sophomore
Pitcher,40,72000,NAIA,0.381,20/8/2022,Junior
Pitcher,38,77777,NAIA,0.398,20/8/2022,Freshman
Catcher,39,65000,D3,0.345,20/8/2022,Redshirt
Pitcher,24,55555,D1,0.230,20/8/2022,Senior
Catcher,35,60000,D2,0.306,20/8/2022,Junior
Catcher,40,65000,D3,0.360,20/8/2022,Sophomore
Pitcher,41,77777,NAIA,0.329,20/8/2022,Junior
Pitcher,42,70000,NAIA,0.329,20/8/2022,Freshman
Catcher,43,68000,D3,0.285,20/8/2022,Redshirt
Pitcher,29,50000,D1,0.180,20/8/2022,Senior
Catcher,38,60000,D2,0.240,20/8/2022,Junior
Catcher,44,66666,D3,0.270,20/8/2022,Sophomore
Pitcher,42,71500,NAIA,0.312,20/8/2022,Junior
Pitcher,40,72500,NAIA,0.294,20/8/2022,Freshman
Catcher,41,65000,D3,0.255,20/8/2022,Redshirt
Pitcher,25,50000,D1,0.170,20/8/2022,Senior
Catcher,30,66666,D2,0.226,20/8/2022,Junior
Catcher,40,65000,D3,0.264,20/8/2022,Sophomore
Pitcher,42,73000,NAIA,0.305,20/8/2022,Junior
Pitcher,43,74000,NAIA,0.305,20/8/2022,Freshman
Catcher,44,65000,D3,0.264,20/8/2022,Redshirt
,122,900000,D2,0,15/6/2022,Coach
,121,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,100,900000,D2,,15/6/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
,3,900000,D2,,15/6/2022,Freshman
,4,900000,D2,,15/6/2022,Freshman
,2,900000,D2,,15/6/2022,Freshman
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
,122,900000,D2,0,15/6/2022,Coach
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
,121,900000,D2,,15/6/2022,Coach
Pitcher,2,72000,NAIA,,20/8/2022,Freshman
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Catcher,191,65000,D3,0.300,1/7/2022,Redshirt
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
,100,900000,D2,,15/6/2022,Coach
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
,2,900000,D2,,15/6/2022,Freshman
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,0,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,122,900000,D2,0,15/6/2022,Coach
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,0,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,121,900000,D2,,15/6/2022,Coach
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,0,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,0,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,0,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Catcher,45,,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,0,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,0,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Catcher,45,no scholarship,D3,0.150,1/3/2022,Alumni
Pitcher,50,120000,NAIA,,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,4,900000,D2,,15/6/2022,Freshman
Catcher,45,no scholarship,D3,,1/3/2022,Alumni
Pitcher,50,120000,NAIA,,,Grad
Pitcher,60,80000,,0.500,10/5/2022,Coach
,2,900000,D2,,15/6/2022,Freshman
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Pitcher,60,80000,,0.500,10/5/2022,Coach
Catcher,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,122,900000,D2,0,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Catcher,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,121,900000,D2,,15/6/2022,Coach
Pitcher,2,72000,NAIA,,20/8/2022,Freshman
Catcher,30,60000,D2,,20/2/2022,Junior
Pitcher,50,120000,NAIA,,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Catcher,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Catcher,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Catcher,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,100,900000,D2,,15/6/2022,Coach
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Catcher,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Pitcher,29,72000,NAIA,,20/8/2022,Junior
Catcher,30,60000,D2,0,20/2/2022,Junior
Pitcher,50,120000,NAIA,0,,Grad
Catcher,,70000,D1,0.700,5/4/2022,Redshirt
Pitcher,60,80000,,0.500,10/5/2022,Coach
,3,900000,D2,,15/6/2022,Freshman
Pitcher,29,72000,NAIA,,20/8/2022,Junior
