Gender,Player_Age,Scholarship_Value,Field_Position,Season_Points,Match_Date,Academic_Year
Male,25.0,50000,Attack,2000.0,20/8/2022,Freshman
Female,30.0,60000,Midfield,3568.96,20/8/2022,Sophomore
Female,35.0,65000,Defense,3000.0,20/8/2022,Junior
Male,29.0,72000,Goalie,3568.96,20/8/2022,Sophomore
Male,16.0,72000,Goalie,3568.96,20/8/2022,Redshirt
Female,43.0,65000,Defense,3000.0,20/8/2022,Senior
Male,22.0,44444,Attack,2100.0,20/8/2022,Freshman
Female,33.0,60000,Midfield,2800.0,20/8/2022,Sophomore
Female,41.0,66666,Defense,3150.0,20/8/2022,Junior
Male,40.0,72000,Goalie,3640.0,20/8/2022,Sophomore
Male,38.0,77777,Goalie,3640.0,20/8/2022,Redshirt
Female,39.0,65000,Defense,3300.0,20/8/2022,Senior
Male,23.0,50000,Attack,2200.0,20/8/2022,Freshman
Female,34.0,60000,Midfield,2934.0,20/8/2022,Sophomore
Female,41.0,65000,Defense,3300.0,20/8/2022,Junior
Male,40.0,72000,Goalie,3814.0,20/8/2022,Sophomore
Male,38.0,77777,Goalie,3987.0,20/8/2022,Redshirt
Female,39.0,65000,Defense,3450.0,20/8/2022,Senior
Male,24.0,55555,Attack,2300.0,20/8/2022,Freshman
Female,35.0,60000,Midfield,3067.0,20/8/2022,Sophomore
Female,40.0,65000,Defense,3600.0,20/8/2022,Junior
Male,41.0,77777,Goalie,3294.0,20/8/2022,Sophomore
Male,42.0,70000,Goalie,3294.0,20/8/2022,Redshirt
Female,43.0,68000,Defense,2850.0,20/8/2022,Senior
Male,29.0,50000,Attack,1800.0,20/8/2022,Freshman
Female,38.0,60000,Midfield,2400.0,20/8/2022,Sophomore
Female,44.0,66666,Defense,2700.0,20/8/2022,Junior
Male,42.0,71500,Goalie,3120.0,20/8/2022,Sophomore
Male,40.0,72500,Goalie,2947.0,20/8/2022,Redshirt
Female,41.0,65000,Defense,2550.0,20/8/2022,Senior
Male,25.0,50000,Attack,1700.0,20/8/2022,Freshman
Female,30.0,66666,Midfield,2267.0,20/8/2022,Sophomore
Female,40.0,65000,Defense,2640.0,20/8/2022,Junior
Male,42.0,73000,Goalie,3051.0,20/8/2022,Sophomore
Male,43.0,74000,Goalie,3051.0,20/8/2022,Redshirt
Female,44.0,65000,Defense,2640.0,20/8/2022,Senior
,122.0,900000,Midfield,0.0,15/6/2022,Coach
,121.0,900000,Midfield,,15/6/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
,3.0,900000,Midfield,,15/6/2022,Redshirt
,3.0,900000,Midfield,,15/6/2022,Redshirt
,4.0,900000,Midfield,,15/6/2022,Redshirt
,2.0,900000,Midfield,,15/6/2022,Redshirt
Female,,70000,Attack,7000.0,5/4/2022,Senior
,122.0,900000,Midfield,0.0,15/6/2022,Coach
Female,,70000,Attack,7000.0,5/4/2022,Senior
,121.0,900000,Midfield,,15/6/2022,Coach
Male,2.0,72000,Goalie,,20/8/2022,Redshirt
Female,,70000,Attack,7000.0,5/4/2022,Senior
,100.0,900000,Midfield,,15/6/2022,Coach
Female,191.0,65000,Defense,3000.0,1/7/2022,Senior
Female,,70000,Attack,7000.0,5/4/2022,Senior
,100.0,900000,Midfield,,15/6/2022,Coach
Female,,70000,Attack,7000.0,5/4/2022,Senior
,100.0,900000,Midfield,,15/6/2022,Coach
Female,,70000,Attack,7000.0,5/4/2022,Senior
,100.0,900000,Midfield,,15/6/2022,Coach
Female,,70000,Attack,7000.0,5/4/2022,Senior
Female,,70000,Attack,7000.0,5/4/2022,Senior
Female,,70000,Attack,7000.0,5/4/2022,Senior
Female,,70000,Attack,7000.0,5/4/2022,Senior
,2.0,900000,Midfield,,15/6/2022,Redshirt
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,0.0,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,122.0,900000,Midfield,0.0,15/6/2022,Coach
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,0.0,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,121.0,900000,Midfield,,15/6/2022,Coach
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,0.0,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,0.0,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,0.0,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Female,45.0,,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,0.0,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,3.0,900000,Midfield,,15/6/2022,Redshirt
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,0.0,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,3.0,900000,Midfield,,15/6/2022,Redshirt
Female,45.0,no income,Defense,1500.0,1/3/2022,Graduate
Male,50.0,120000,Goalie,,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,4.0,900000,Midfield,,15/6/2022,Redshirt
Female,45.0,no income,Defense,,1/3/2022,Graduate
Male,50.0,120000,Goalie,,,Alumni
Male,60.0,80000,,5000.0,10/5/2022,Coach
,2.0,900000,Midfield,,15/6/2022,Redshirt
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Male,60.0,80000,,5000.0,10/5/2022,Coach
Female,30.0,60000,Midfield,0.0,20/2/2022,Sophomore
Male,50.0,120000,Goalie,0.0,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,122.0,900000,Midfield,0.0,15/6/2022,Coach
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,0.0,20/2/2022,Sophomore
Male,50.0,120000,Goalie,0.0,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,121.0,900000,Midfield,,15/6/2022,Coach
Male,2.0,72000,Goalie,,20/8/2022,Redshirt
Female,30.0,60000,Midfield,,20/2/2022,Sophomore
Male,50.0,120000,Goalie,,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,0.0,20/2/2022,Sophomore
Male,50.0,120000,Goalie,0.0,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,0.0,20/2/2022,Sophomore
Male,50.0,120000,Goalie,0.0,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,0.0,20/2/2022,Sophomore
Male,50.0,120000,Goalie,0.0,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,100.0,900000,Midfield,,15/6/2022,Coach
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,0.0,20/2/2022,Sophomore
Male,50.0,120000,Goalie,0.0,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,3.0,900000,Midfield,,15/6/2022,Redshirt
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,0.0,20/2/2022,Sophomore
Male,50.0,120000,Goalie,0.0,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,3.0,900000,Midfield,,15/6/2022,Redshirt
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,,20/2/2022,Sophomore
Male,50.0,120000,Goalie,,,Alumni
Female,,70000,Attack,7000.0,5/4/2022,Senior
Male,60.0,80000,,5000.0,10/5/2022,Coach
,4.0,900000,Midfield,,15/6/2022,Redshirt
Male,29.0,72000,Goalie,,20/8/2022,Sophomore
Female,30.0,60000,Midfield,,20/2/2022,Sophomore
Female,45.0,no income,Defense,,1/3/2022,Graduate
