Gender,Age,Scholarship_Amt,Stroke_Type,Seed_Time_Sec,Meet_Date,Academic_Year
Male,18,15000,Freestyle,22.15,20/8/2022,freshman
Female,20,18000,Butterfly,58.42,20/8/2022,junior
Female,21,20000,Backstroke,56.10,20/8/2022,senior
Male,19,22000,Breaststroke,58.42,20/8/2022,sophomore
Male,14,22000,Breaststroke,58.42,20/8/2022,recruit
Female,23,20000,Backstroke,56.10,20/8/2022,alumni
Male,18,12000,Freestyle,23.10,20/8/2022,freshman
Female,20,18000,Butterfly,59.20,20/8/2022,junior
Female,21,21000,Backstroke,57.50,20/8/2022,senior
Male,20,22000,Breaststroke,61.40,20/8/2022,junior
Male,19,25000,Breaststroke,61.40,20/8/2022,recruit
Female,22,20000,Backstroke,63.00,20/8/2022,alumni
Male,18,15000,Freestyle,24.00,20/8/2022,freshman
Female,20,18000,Butterfly,59.34,20/8/2022,junior
Female,21,20000,Backstroke,63.00,20/8/2022,senior
Male,20,22000,Breaststroke,68.14,20/8/2022,junior
Male,19,25000,Breaststroke,69.87,20/8/2022,recruit
Female,22,20000,Backstroke,64.50,20/8/2022,alumni
Male,18,16500,Freestyle,25.00,20/8/2022,freshman
Female,20,18000,Butterfly,60.67,20/8/2022,junior
Female,21,20000,Backstroke,66.00,20/8/2022,senior
Male,22,25000,Breaststroke,62.94,20/8/2022,junior
Male,21,21000,Breaststroke,62.94,20/8/2022,recruit
Female,23,21500,Backstroke,58.50,20/8/2022,alumni
Male,19,15000,Freestyle,28.00,20/8/2022,freshman
Female,22,18000,Butterfly,64.00,20/8/2022,junior
Female,22,21000,Backstroke,67.00,20/8/2022,senior
Male,22,21500,Breaststroke,61.20,20/8/2022,junior
Male,20,22500,Breaststroke,59.47,20/8/2022,recruit
Female,21,20000,Backstroke,55.50,20/8/2022,alumni
Male,18,15000,Freestyle,27.00,20/8/2022,freshman
Female,20,21000,Butterfly,62.67,20/8/2022,junior
Female,21,20000,Backstroke,56.40,20/8/2022,senior
Male,22,23000,Breaststroke,60.51,20/8/2022,junior
Male,21,24000,Breaststroke,60.51,20/8/2022,recruit
Female,22,20000,Backstroke,56.40,20/8/2022,alumni
,122,900000,Butterfly,0,15/6/2022,coach
,121,900000,Butterfly,,15/6/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
,3,900000,Butterfly,,15/6/2022,recruit
,3,900000,Butterfly,,15/6/2022,recruit
,4,900000,Butterfly,,15/6/2022,recruit
,2,900000,Butterfly,,15/6/2022,recruit
Female,,25000,Freestyle,70.00,5/4/2022,alumni
,122,900000,Butterfly,0,15/6/2022,coach
Female,,25000,Freestyle,70.00,5/4/2022,alumni
,121,900000,Butterfly,,15/6/2022,coach
Male,2,22000,Breaststroke,,20/8/2022,recruit
Female,,25000,Freestyle,70.00,5/4/2022,alumni
,100,900000,Butterfly,,15/6/2022,coach
Female,191,20000,Backstroke,60.00,1/7/2022,alumni
Female,,25000,Freestyle,70.00,5/4/2022,alumni
,100,900000,Butterfly,,15/6/2022,coach
Female,,25000,Freestyle,70.00,5/4/2022,alumni
,100,900000,Butterfly,,15/6/2022,coach
Female,,25000,Freestyle,70.00,5/4/2022,alumni
,100,900000,Butterfly,,15/6/2022,coach
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Female,,25000,Freestyle,70.00,5/4/2022,alumni
,2,900000,Butterfly,,15/6/2022,recruit
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,0,,phd
Male,25,35000,,50.00,10/5/2022,coach
,122,900000,Butterfly,0,15/6/2022,coach
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,0,,phd
Male,25,35000,,50.00,10/5/2022,coach
,121,900000,Butterfly,,15/6/2022,coach
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,,,phd
Male,25,35000,,50.00,10/5/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,0,,phd
Male,25,35000,,50.00,10/5/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,0,,phd
Male,25,35000,,50.00,10/5/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,0,,phd
Male,25,35000,,50.00,10/5/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
Female,22,,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,0,,phd
Male,25,35000,,50.00,10/5/2022,coach
,3,900000,Butterfly,,15/6/2022,recruit
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,0,,phd
Male,25,35000,,50.00,10/5/2022,coach
,3,900000,Butterfly,,15/6/2022,recruit
Female,22,no scholarship,Backstroke,15.00,1/3/2022,grad-student
Male,24,40000,Breaststroke,,,phd
Male,25,35000,,50.00,10/5/2022,coach
,4,900000,Butterfly,,15/6/2022,recruit
Female,22,no scholarship,Backstroke,,1/3/2022,grad-student
Male,24,40000,Breaststroke,,,phd
Male,25,35000,,50.00,10/5/2022,coach
,2,900000,Butterfly,,15/6/2022,recruit
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Male,25,35000,,50.00,10/5/2022,coach
Female,20,18000,Butterfly,0,20/2/2022,junior
Male,24,40000,Breaststroke,0,,phd
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Male,25,35000,,50.00,10/5/2022,coach
,122,900000,Butterfly,0,15/6/2022,coach
Male,19,22000,Breaststroke,,20/8/2022,junior
Female,20,18000,Butterfly,0,20/2/2022,junior
Male,24,40000,Breaststroke,0,,phd
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Male,25,35000,,50.00,10/5/2022,coach
,121,900000,Butterfly,,15/6/2022,coach
Male,2,22000,Breaststroke,,20/8/2022,recruit
Female,20,18000,Butterfly,,20/2/2022,junior
Male,24,40000,Breaststroke,,,phd
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Male,25,35000,,50.00,10/5/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
Male,19,22000,Breaststroke,,20/8/2022,junior
Female,20,18000,Butterfly,0,20/2/2022,junior
Male,24,40000,Breaststroke,0,,phd
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Male,25,35000,,50.00,10/5/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
Male,19,22000,Breaststroke,,20/8/2022,junior
Female,20,18000,Butterfly,0,20/2/2022,junior
Male,24,40000,Breaststroke,0,,phd
Female,,25000,Freestyle,70.00,5/4/2022,alumni
Male,25,35000,,50.00,10/5/2022,coach
,100,900000,Butterfly,,15/6/2022,coach
Male,19,22000,Breaststroke,,20/8/2022,junior
Female,20,18000,Butterfly,0,20/2/2022,junior
Male,24,40000,Breaststroke,0,,phd
Female,,25000,Freestyle,70.00,5/4/2022,alumni
