Gender,Jersey_Number,Season_Scholarship,Position,Total_Points,Match_Date,Rank
Male,25,50000,Setter,2000,20/8/2022,Junior
Female,30,60000,Libero,3568.96,20/8/2022,Senior
Female,35,65000,Hitter,3000,20/8/2022,Varsity
Male,29,72000,Blocker,3568.96,20/8/2022,Senior
Male,16,72000,Blocker,3568.96,20/8/2022,Rookie
Female,43,65000,Hitter,3000,20/8/2022,Walk-on
Male,22,44444,Setter,2100,20/8/2022,Junior
Female,33,60000,Libero,2800,20/8/2022,Senior
Female,41,66666,Hitter,3150,20/8/2022,Varsity
Male,40,72000,Blocker,3640,20/8/2022,Senior
Male,38,77777,Blocker,3640,20/8/2022,Rookie
Female,39,65000,Hitter,3300,20/8/2022,Walk-on
Male,23,50000,Setter,2200,20/8/2022,Junior
Female,34,60000,Libero,2934,20/8/2022,Senior
Female,41,65000,Hitter,3300,20/8/2022,Varsity
Male,40,72000,Blocker,3814,20/8/2022,Senior
Male,38,77777,Blocker,3987,20/8/2022,Rookie
Female,39,65000,Hitter,3450,20/8/2022,Walk-on
Male,24,55555,Setter,2300,20/8/2022,Junior
Female,35,60000,Libero,3067,20/8/2022,Senior
Female,40,65000,Hitter,3600,20/8/2022,Varsity
Male,41,77777,Blocker,3294,20/8/2022,Senior
Male,42,70000,Blocker,3294,20/8/2022,Rookie
Female,43,68000,Hitter,2850,20/8/2022,Walk-on
Male,29,50000,Setter,1800,20/8/2022,Junior
Female,38,60000,Libero,2400,20/8/2022,Senior
Female,44,66666,Hitter,2700,20/8/2022,Varsity
Male,42,71500,Blocker,3120,20/8/2022,Senior
Male,40,72500,Blocker,2947,20/8/2022,Rookie
Female,41,65000,Hitter,2550,20/8/2022,Walk-on
Male,25,50000,Setter,1700,20/8/2022,Junior
Female,30,66666,Libero,2267,20/8/2022,Senior
Female,40,65000,Hitter,2640,20/8/2022,Varsity
Male,42,73000,Blocker,3051,20/8/2022,Senior
Male,43,74000,Blocker,3051,20/8/2022,Rookie
Female,44,65000,Hitter,2640,20/8/2022,Walk-on
,122,900000,Libero,0,15/6/2022,Captain
,121,900000,Libero,,15/6/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
,3,900000,Libero,,15/6/2022,Rookie
,3,900000,Libero,,15/6/2022,Rookie
,4,900000,Libero,,15/6/2022,Rookie
,2,900000,Libero,,15/6/2022,Rookie
Female,,70000,Setter,7000,5/4/2022,Walk-on
,122,900000,Libero,0,15/6/2022,Captain
Female,,70000,Setter,7000,5/4/2022,Walk-on
,121,900000,Libero,,15/6/2022,Captain
Male,2,72000,Blocker,,20/8/2022,Rookie
Female,,70000,Setter,7000,5/4/2022,Walk-on
,100,900000,Libero,,15/6/2022,Captain
Female,191,65000,Hitter,3000,1/7/2022,Walk-on
Female,,70000,Setter,7000,5/4/2022,Walk-on
,100,900000,Libero,,15/6/2022,Captain
Female,,70000,Setter,7000,5/4/2022,Walk-on
,100,900000,Libero,,15/6/2022,Captain
Female,,70000,Setter,7000,5/4/2022,Walk-on
,100,900000,Libero,,15/6/2022,Captain
Female,,70000,Setter,7000,5/4/2022,Walk-on
Female,,70000,Setter,7000,5/4/2022,Walk-on
Female,,70000,Setter,7000,5/4/2022,Walk-on
Female,,70000,Setter,7000,5/4/2022,Walk-on
,2,900000,Libero,,15/6/2022,Rookie
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,0,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,122,900000,Libero,0,15/6/2022,Captain
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,0,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,121,900000,Libero,,15/6/2022,Captain
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,0,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,0,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,0,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Female,45,,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,0,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,3,900000,Libero,,15/6/2022,Rookie
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,0,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,3,900000,Libero,,15/6/2022,Rookie
Female,45,no income,Hitter,1500,1/3/2022,All-American
Male,50,120000,Blocker,,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,4,900000,Libero,,15/6/2022,Rookie
Female,45,no income,Hitter,,1/3/2022,All-American
Male,50,120000,Blocker,,,MVP
Male,60,80000,,5000,10/5/2022,Captain
,2,900000,Libero,,15/6/2022,Rookie
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Male,60,80000,,5000,10/5/2022,Captain
Female,30,60000,Libero,0,20/2/2022,Senior
Male,50,120000,Blocker,0,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,122,900000,Libero,0,15/6/2022,Captain
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,0,20/2/2022,Senior
Male,50,120000,Blocker,0,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,121,900000,Libero,,15/6/2022,Captain
Male,2,72000,Blocker,,20/8/2022,Rookie
Female,30,60000,Libero,,20/2/2022,Senior
Male,50,120000,Blocker,,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,0,20/2/2022,Senior
Male,50,120000,Blocker,0,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,0,20/2/2022,Senior
Male,50,120000,Blocker,0,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,0,20/2/2022,Senior
Male,50,120000,Blocker,0,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,100,900000,Libero,,15/6/2022,Captain
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,0,20/2/2022,Senior
Male,50,120000,Blocker,0,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,3,900000,Libero,,15/6/2022,Rookie
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,0,20/2/2022,Senior
Male,50,120000,Blocker,0,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,3,900000,Libero,,15/6/2022,Rookie
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,,20/2/2022,Senior
Male,50,120000,Blocker,,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,4,900000,Libero,,15/6/2022,Rookie
Male,29,72000,Blocker,,20/8/2022,Senior
Female,30,60000,Libero,,20/2/2022,Senior
Female,45,no income,Hitter,,1/3/2022,All-American
Male,50,120000,Blocker,,,MVP
Female,,70000,Setter,7000,5/4/2022,Walk-on
Male,60,80000,,5000,10/5/2022,Captain
,2,900000,Libero,,15/6/2022,Rookie
Male,29,72000,Blocker,,20/8/2022,Senior
Male,50,120000,Blocker,0,,MVP
Male,50,120000,Blocker,0,,MVP
Male,50,120000,Blocker,,,MVP
Male,50,120000,Blocker,0,,MVP
Male,50,120000,Blocker,0,,MVP
Male,50,120000,Blocker,0,,MVP
Male,50,120000,Blocker,0,,MVP
Male,50,120000,Blocker,0,,MVP
Male,50,120000,Blocker,,,MVP
Male,50,120000,Blocker,,,MVP
Male,25,50000,Setter,2000,20/8/2022,Junior
Female,30,60000,Libero,3568.96,20/8/2022,Senior
